ff_id,SC15,SC15_SE,SC9,SC9_SE,PAF,PAF_SE,city
3942,-0.209,0.985,-1.014,0.552,-0.167,0.991,12
3943,-2.002,0.48,-0.819,0.509,-1.144,0.868,12
3944,-1.295,0.451,0.703,0.654,-1.304,0.315,12
3945,-0.036,0.469,-0.629,0.456,0.18,0.379,12
3946,-1.391,0.45,0.72,0.657,-0.559,0.334,12
3947,0.888,0.606,0.368,0.58,0.4,0.405,12
3949,0.37,0.499,0.905,0.687,0.86,0.458,12
3950,0.178,0.989,0.865,0.686,0.142,0.993,12
3951,-0.419,0.46,0.164,0.529,-1.323,0.311,12
3953,0.178,0.989,0.865,0.686,0.142,0.993,12
3955,-0.169,0.471,0.821,0.673,-0.32,0.333,12
3956,-0.915,0.449,0.728,0.658,-1.415,0.303,12
3957,0.127,0.502,0.185,0.548,-0.992,0.321,12
3958,0.092,0.986,0.448,0.592,0.074,0.991,12
3962,-0.465,0.455,-0.221,0.597,-0.768,0.328,12
3963,0.195,0.489,0.859,0.679,-0.046,0.363,12
3965,-0.038,0.984,-0.182,0.495,-0.03,0.99,12
3966,0.898,0.61,-1.396,0.475,0.815,0.459,12
3970,-1.122,0.442,-0.961,0.455,-1.788,0.304,12
3973,-1.033,0.443,-0.536,0.476,-1.305,0.314,12
3974,0.178,0.989,0.865,0.686,0.142,0.993,12
3975,-0.957,0.447,-0.204,0.483,-0.687,0.327,12
3976,-0.343,0.46,0.841,0.676,0.663,0.431,12
3977,-1.167,0.446,-0.116,0.504,-2.032,0.298,12
3979,-0.066,0.468,-0.011,0.508,0.182,0.373,12
3983,-0.123,0.475,-0.146,0.502,-0.775,0.324,12
3985,-0.198,0.471,0.814,0.672,-0.483,0.333,12
3986,-0.317,0.463,-0.764,0.49,0.633,0.427,12
3987,0.282,0.514,0.855,0.679,-0.376,0.343,12
3990,-1.345,0.448,-1.73,0.48,-1.302,0.311,12
3991,-1.306,0.448,-0.515,0.476,-1.314,0.304,12
3992,-0.471,0.455,-0.062,0.98,0.221,0.392,12
3993,-1.2,0.446,0.755,0.662,0.076,0.374,12
3996,0.004,0.986,0.018,0.601,0.003,0.991,12
3997,-1.062,0.439,-0.199,0.98,-0.327,0.339,12
3998,0.672,0.572,-0.09,0.539,-0.303,0.346,12
3999,1.193,0.667,0.549,0.599,1.359,0.55,12
4002,-0.468,0.986,-2.274,0.568,-0.374,0.991,12
4003,0.745,0.583,0.897,0.686,-0.234,0.349,12
4004,0.092,0.986,0.448,0.592,0.074,0.991,12
4005,-0.389,0.457,-0.384,0.487,-0.882,0.323,12
4006,-1.792,0.451,0.621,0.642,-2.774,0.307,12
4008,0.939,0.615,0.512,0.595,0.547,0.419,12
4009,0.005,0.482,-0.052,0.518,-0.086,0.356,12
4011,0.569,0.546,-1.45,0.475,1.445,0.565,12
