ff_id,SC15,SC15_SE,SC9,SC9_SE,Int15,Int15_SE,Ext15,Ext15_SE,Int9,Int9_SE,Ext9,Ext9_SE,city
1396,0.572,0.579,-0.882,0.459,1.289,0.3,0.045,0.405,0.603,0.33,0.236,0.284,5
1397,-1.645,0.439,0.675,0.659,3.081,0.431,0.741,0.358,-0.599,0.509,-0.368,0.346,5
1398,-0.766,0.455,0.015,0.512,0.628,0.298,-0.385,0.415,-1.244,0.639,-1.418,0.587,5
1399,-0.239,0.479,-0.42,0.454,0.108,0.935,0.094,0.958,0.07,0.989,0.088,0.983,5
1400,-1.344,0.443,0.696,0.662,-0.076,0.373,0.638,0.369,0.595,0.333,0.14,0.285,5
1401,0.757,0.607,0.048,0.525,0.558,0.33,-0.224,0.431,-0.805,0.539,-0.548,0.378,5
1402,0.96,0.642,0.985,0.715,0.337,0.341,-1.359,0.517,-0.45,0.488,-1.251,0.526,5
1403,-1.682,0.456,-1.223,0.448,0.21,0.331,0.068,0.405,1.313,0.28,0.905,0.24,5
1404,-0.284,0.903,-2.229,0.546,0.41,0.321,-0.849,0.475,0.238,0.366,-0.531,0.383,5
1405,0.688,0.599,0.098,0.984,0.845,0.31,0.17,0.405,0.086,0.985,-0.039,0.965,5
1406,-0.254,0.479,-0.079,0.982,1.429,0.312,0.017,0.389,0.218,0.985,-0.02,0.964,5
1407,-0.024,0.493,0.898,0.698,0.083,0.347,-0.094,0.41,-1.212,0.619,-1.174,0.527,5
1408,1.376,0.73,0.472,0.578,-1.84,0.675,-2.326,0.626,-0.803,0.546,-1.188,0.519,5
1409,0,0.492,0.039,0.983,-0.434,0.386,-0.745,0.456,-0.075,0.986,-0.185,0.966,5
1410,-2.203,0.485,-0.352,0.477,1.109,0.304,-0.318,0.424,-0.094,0.43,-0.022,0.309,5
1411,0.366,0.507,0.457,0.6,-0.595,0.437,-2.026,0.587,-1.288,0.662,-1.649,0.641,5
1412,1.342,0.729,0.372,0.988,-1.824,0.675,-2.269,0.627,-0.372,0.99,-0.658,0.974,5
1413,-1.184,0.443,0.114,0.53,0.22,0.327,-0.675,0.45,1.473,0.26,0.895,0.237,5
1415,-0.48,0.461,-0.052,0.982,-0.326,0.37,-0.709,0.44,-0.033,0.985,-0.139,0.966,5
1416,-0.301,0.976,-0.519,0.499,0.287,0.983,0.397,0.952,1.542,0.265,1.641,0.211,5
1417,-0.717,0.453,-0.176,0.5,1.132,0.301,0.42,0.374,-0.064,0.416,-0.666,0.407,5
1418,0.145,0.492,0.849,0.689,-1.616,0.628,-2.071,0.592,0.208,0.367,0.133,0.275,5
1419,-0.57,0.457,-0.4,0.491,0.546,0.303,0.149,0.399,0.141,0.98,0.105,0.958,5
1421,0.692,0.596,-0.819,0.439,0.266,0.327,-0.098,0.408,1.553,0.262,1.552,0.213,5
1422,0.307,0.514,0.099,0.568,-0.186,0.362,-0.916,0.468,0.398,0.353,-0.446,0.356,5
1424,-0.229,0.473,-0.068,0.982,-0.493,0.422,0.962,0.28,-0.042,0.986,0.291,0.961,5
1426,-0.057,0.473,0.785,0.678,-0.977,0.499,0.094,0.413,0.084,0.396,0.691,0.246,5
